-- JAN
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00001', 1, '01-JAN-2020', '03-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00021', 21, '07-JAN-2020', '09-JAN-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00022', 22, '07-JAN-2020', '09-JAN-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00023', 23, '08-JAN-2020', '10-JAN-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00024', 24, '08-JAN-2020', '10-JAN-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00025', 25, '08-JAN-2020', '10-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00026', 26, '09-JAN-2020', '11-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00027', 27, '09-JAN-2020', '11-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00028', 28, '09-JAN-2020', '11-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00029', 29, '10-JAN-2020', '12-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00030', 30, '10-JAN-2020', '12-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00031', 31, '10-JAN-2020', '12-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00032', 32, '11-JAN-2020', '13-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00033', 33, '11-JAN-2020', '13-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00034', 34, '11-JAN-2020', '13-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00035', 35, '12-JAN-2020', '14-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00036', 36, '12-JAN-2020', '14-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00037', 37, '12-JAN-2020', '14-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00038', 38, '13-JAN-2020', '15-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00039', 39, '13-JAN-2020', '15-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00040', 40, '13-JAN-2020', '15-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00041', 41, '14-JAN-2020', '16-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00042', 42, '14-JAN-2020', '16-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00043', 43, '14-JAN-2020', '16-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00044', 44, '15-JAN-2020', '17-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00045', 45, '15-JAN-2020', '17-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00046', 46, '15-JAN-2020', '17-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00047', 47, '16-JAN-2020', '18-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00048', 48, '16-JAN-2020', '18-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00049', 49, '16-JAN-2020', '18-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00050', 50, '17-JAN-2020', '19-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00051', 51, '17-JAN-2020', '19-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00052', 52, '17-JAN-2020', '19-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00053', 53, '18-JAN-2020', '20-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00054', 54, '18-JAN-2020', '20-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00055', 55, '18-JAN-2020', '20-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00056', 56, '19-JAN-2020', '21-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00057', 57, '19-JAN-2020', '21-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00058', 58, '19-JAN-2020', '21-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00059', 59, '20-JAN-2020', '22-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00060', 60, '20-JAN-2020', '22-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00061', 61, '20-JAN-2020', '22-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00062', 62, '21-JAN-2020', '23-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00063', 63, '21-JAN-2020', '23-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00064', 64, '21-JAN-2020', '23-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00065', 65, '22-JAN-2020', '24-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00066', 66, '22-JAN-2020', '24-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00067', 67, '22-JAN-2020', '24-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00068', 68, '23-JAN-2020', '25-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00069', 69, '23-JAN-2020', '25-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00070', 70, '24-JAN-2020', '26-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00071', 71, '24-JAN-2020', '26-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00072', 72, '25-JAN-2020', '27-JAN-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00073', 73, '25-JAN-2020', '27-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00074', 74, '26-JAN-2020', '28-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00075', 75, '26-JAN-2020', '28-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00076', 76, '27-JAN-2020', '29-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00076', 99, '27-JAN-2020', '29-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00077', 77, '27-JAN-2020', '29-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00077', 108, '27-JAN-2020', '29-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00077', 100, '27-JAN-2020', '29-JAN-2020' , 2);



--FEB
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00078', 78, '01-FEB-2020', '03-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00079', 79, '01-FEB-2020', '03-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00080', 80, '01-FEB-2020', '03-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00081', 81, '02-FEB-2020', '04-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00082', 82, '02-FEB-2020', '04-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00083', 83, '02-FEB-2020', '04-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00084', 84, '03-FEB-2020', '05-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00085', 85, '03-FEB-2020', '05-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00086', 86, '03-FEB-2020', '05-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00087', 87, '04-FEB-2020', '06-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00088', 88, '04-FEB-2020', '06-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00089', 89, '04-FEB-2020', '06-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00090', 90, '05-FEB-2020', '07-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00091', 91, '05-FEB-2020', '07-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00092', 92, '05-FEB-2020', '07-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00093', 93, '06-FEB-2020', '08-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00094', 94, '06-FEB-2020', '08-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00095', 95, '06-FEB-2020', '08-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00096', 96, '07-FEB-2020', '09-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00097', 97, '07-FEB-2020', '09-FEB-2020' , 5);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00098', 98, '07-FEB-2020', '09-FEB-2020' , 5);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00099', 99, '08-FEB-2020', '10-FEB-2020' , 5);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00100', 100, '08-FEB-2020', '10-FEB-2020' , 5);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00101', 1, '08-FEB-2020', '10-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00102', 2, '09-FEB-2020', '11-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00103', 3, '09-FEB-2020', '11-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00104', 4, '09-FEB-2020', '11-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00105', 5, '10-FEB-2020', '12-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00106', 6, '10-FEB-2020', '12-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00107', 7, '10-FEB-2020', '12-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00108', 8, '11-FEB-2020', '13-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00109', 9, '11-FEB-2020', '13-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00110', 10, '11-FEB-2020', '13-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00111', 11, '12-FEB-2020', '14-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00112', 12, '12-FEB-2020', '14-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00113', 13, '12-FEB-2020', '14-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00114', 14, '13-FEB-2020', '15-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00115', 15, '13-FEB-2020', '15-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00116', 16, '13-FEB-2020', '15-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00117', 17, '14-FEB-2020', '16-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00118', 18, '14-FEB-2020', '16-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00119', 19, '14-FEB-2020', '16-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00120', 20, '15-FEB-2020', '17-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00121', 21, '15-FEB-2020', '17-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00122', 22, '15-FEB-2020', '17-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00123', 23, '16-FEB-2020', '18-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00124', 24, '16-FEB-2020', '18-FEB-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00125', 25, '16-FEB-2020', '18-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00126', 26, '17-FEB-2020', '19-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00127', 27, '17-FEB-2020', '19-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00128', 28, '17-FEB-2020', '19-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00129', 29, '18-FEB-2020', '20-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00130', 30, '18-FEB-2020', '20-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00131', 31, '18-FEB-2020', '20-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00132', 32, '19-FEB-2020', '21-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00133', 33, '19-FEB-2020', '21-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00134', 34, '19-FEB-2020', '21-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00135', 35, '20-FEB-2020', '22-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00136', 36, '20-FEB-2020', '22-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00137', 37, '20-FEB-2020', '22-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00138', 38, '21-FEB-2020', '23-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00139', 39, '21-FEB-2020', '23-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00140', 40, '21-FEB-2020', '23-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00141', 41, '22-FEB-2020', '24-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00142', 42, '22-FEB-2020', '24-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00143', 43, '22-FEB-2020', '24-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00144', 44, '23-FEB-2020', '25-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00145', 45, '23-FEB-2020', '25-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00146', 46, '23-FEB-2020', '25-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00147', 47, '24-FEB-2020', '26-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00148', 48, '24-FEB-2020', '26-FEB-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00149', 49, '25-FEB-2020', '27-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00150', 50, '25-FEB-2020', '27-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00151', 51, '26-FEB-2020', '28-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00152', 52, '26-FEB-2020', '28-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00153', 53, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00154', 54, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00155', 55, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00156', 56, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00157', 57, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00158', 58, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00159', 59, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00160', 60, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00161', 61, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00162', 62, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00163', 63, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00164', 64, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00165', 65, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00166', 66, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00167', 67, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00168', 68, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00169', 69, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00170', 70, '27-FEB-2020', '29-FEB-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00171', 71, '28-FEB-2020', '01-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00172', 72, '28-FEB-2020', '01-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00173', 73, '28-FEB-2020', '01-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00174', 74, '28-FEB-2020', '01-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00175', 75, '28-FEB-2020', '01-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00176', 76, '28-FEB-2020', '01-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00177', 77, '28-FEB-2020', '01-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00178', 78, '28-FEB-2020', '01-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00179', 79, '28-FEB-2020', '01-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00180', 80, '28-FEB-2020', '01-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00181', 81, '28-FEB-2020', '01-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00182', 82, '29-FEB-2020', '02-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00183', 83, '29-FEB-2020', '02-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00184', 84, '29-FEB-2020', '02-MAR-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00185', 85, '29-FEB-2020', '02-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00186', 86, '29-FEB-2020', '02-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00187', 87, '29-FEB-2020', '02-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00188', 88, '29-FEB-2020', '02-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00189', 89, '29-FEB-2020', '02-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00190', 90, '29-FEB-2020', '02-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00191', 91, '29-FEB-2020', '02-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00192', 92, '29-FEB-2020', '02-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00193', 93, '29-FEB-2020', '02-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00194', 94, '29-FEB-2020', '02-MAR-2020' , 3);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00195', 95, '29-FEB-2020', '02-MAR-2020' , 3);
