--PAYEMENT 2020

--JAN
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00001' , 'S001' , 'VSCC', '03-JAN-2020', 369.82);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00016' , 'S005' , 'CASH', '07-JAN-2020', 390.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00017' , 'S005' , 'ONBK', '08-JAN-2020', 371.28);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00018' , 'S005' , 'ONBK', '08-JAN-2020', 380.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00019' , 'S004' , 'TNGO', '08-JAN-2020', 390.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00020' , 'S003' , 'TNGO', '09-JAN-2020', 390.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00021' , 'S003' , 'CHEQ', '09-JAN-2020', 376.04);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00022' , 'S006' , 'CASH', '09-JAN-2020', 390.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00023' , 'S006' , 'TNGO', '10-JAN-2020', 376.04);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00024' , 'S006' , 'MSCC', '10-JAN-2020', 424.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00025' , 'S006' , 'VSCC', '10-JAN-2020', 631.40);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00026' , 'S002' , 'CASH', '11-JAN-2020', 390.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00027' , 'S002' , 'TNGO', '11-JAN-2020', 400.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00028' , 'S002' , 'DBCD', '11-JAN-2020', 410.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00029' , 'S002' , 'GBAB', '12-JAN-2020', 390.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00030' , 'S002' , 'CASH', '12-JAN-2020', 553.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00031' , 'S001' , 'TNGO', '12-JAN-2020', 410.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00032' , 'S001' , 'CASH', '13-JAN-2020', 410.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00033' , 'S001' , 'CASH', '13-JAN-2020', 426.60);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00034' , 'S001' , 'ONBK', '13-JAN-2020', 434.60);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00035' , 'S005' , 'ONBK', '14-JAN-2020', 405.60);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00036' , 'S005' , 'ONBK', '14-JAN-2020', 400.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00037' , 'S005' , 'CHEQ', '14-JAN-2020', 591.30);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00038' , 'S005' , 'CASH', '15-JAN-2020', 565.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00039' , 'S005' , 'MSCC', '15-JAN-2020', 685.30);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00040' , 'S003' , 'VSCC', '15-JAN-2020', 668.30);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00041' , 'S003' , 'VSCC', '16-JAN-2020', 558.90);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00042' , 'S003' , 'VSCC', '16-JAN-2020', 538.20);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00043' , 'S003' , 'TNGO', '16-JAN-2020', 592.90);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00044' , 'S003' , 'MSCC', '17-JAN-2020', 792.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00045' , 'S004' , 'CASH', '17-JAN-2020', 565.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00046' , 'S004' , 'DBCD', '17-JAN-2020', 643.85);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00047' , 'S004' , 'CASH', '18-JAN-2020', 590.40);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00048' , 'S004' , 'CASH', '18-JAN-2020', 565.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00049' , 'S004' , 'TNGO', '18-JAN-2020', 1385.28);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00050' , 'S002' , 'TNGO', '19-JAN-2020', 1420.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00051' , 'S002' , 'GBAB', '19-JAN-2020', 1751.52);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00052' , 'S002' , 'CASH', '19-JAN-2020', 1456.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00053' , 'S002' , 'CASH', '20-JAN-2020', 1385.28);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00054' , 'S002' , 'CHEQ', '20-JAN-2020', 1420.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00055' , 'S001' , 'VSCC', '20-JAN-2020', 1456.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00056' , 'S001' , 'CHEQ', '21-JAN-2020', 1456.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00057' , 'S001' , 'CHEQ', '21-JAN-2020', 1474.08);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00058' , 'S001' , 'MSCC', '21-JAN-2020', 1620.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00059' , 'S001' , 'VSCC', '22-JAN-2020', 1385.28);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00060' , 'S005' , 'MSCC', '22-JAN-2020', 1640.04);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00061' , 'S005' , 'AECC', '22-JAN-2020', 640.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00062' , 'S005' , 'AECC', '23-JAN-2020', 656.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00063' , 'S005' , 'CHEQ', '23-JAN-2020', 656.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00064' , 'S005' , 'CASH', '23-JAN-2020', 632.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00065' , 'S006' , 'CASH', '24-JAN-2020', 640.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00066' , 'S006' , 'MSCC', '24-JAN-2020', 640.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00067' , 'S006' , 'AECC', '24-JAN-2020', 632.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00068' , 'S006' , 'CASH', '25-JAN-2020', 656.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00069' , 'S006' , 'MSCC', '25-JAN-2020', 655.20);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00070' , 'S006' , 'CASH', '26-JAN-2020', 632.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00071' , 'S005' , 'CHEQ', '26-JAN-2020', 668.30);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00072' , 'S005' , 'TNGO', '27-JAN-2020', 869.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00073' , 'S003' , 'CASH', '27-JAN-2020', 605.16);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00074' , 'S003' , 'CASH', '28-JAN-2020', 590.40);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00075' , 'S002' , 'MSCC', '28-JAN-2020', 575.64);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00076' , 'S002' , 'MSCC', '29-JAN-2020', 1810.56);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00077' , 'S001' , 'DBCD', '29-JAN-2020', 3071.52);


--FEB
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00078' , 'S006' , 'CASH', '03-FEB-2020', 637.96);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00079' , 'S006' , 'CASH', '03-FEB-2020', 612.54);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00080' , 'S006' , 'CHEQ', '03-FEB-2020', 568.26);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00081' , 'S006' , 'AECC', '04-FEB-2020', 575.64);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00082' , 'S006' , 'AECC', '04-FEB-2020', 851.16);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00083' , 'S002' , 'CASH', '04-FEB-2020', 605.16);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00084' , 'S002' , 'CHEQ', '05-FEB-2020', 630.42);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00085' , 'S002' , 'MSCC', '05-FEB-2020', 960.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00086' , 'S002' , 'MSCC', '05-FEB-2020', 984.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00087' , 'S003' , 'DBCD', '06-FEB-2020', 984.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00088' , 'S003' , 'DBCD', '06-FEB-2020', 960.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00089' , 'S003' , 'DBCD', '06-FEB-2020', 984.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00090' , 'S004' , 'CASH', '07-FEB-2020', 984.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00091' , 'S004' , 'CASH', '07-FEB-2020', 936.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00092' , 'S004' , 'MSCC', '07-FEB-2020', 960.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00093' , 'S005' , 'VSCC', '08-FEB-2020', 1291.50);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00094' , 'S005' , 'AECC', '08-FEB-2020', 936.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00095' , 'S005' , 'CASH', '08-FEB-2020', 960.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00096' , 'S001' , 'DBCD', '09-FEB-2020', 1008.60);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00097' , 'S001' , 'GBAB', '09-FEB-2020', 1180.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00098' , 'S001' , 'GBAB', '09-FEB-2020', 1137.60);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00099' , 'S002' , 'TNGO', '10-FEB-2020', 1180.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00100' , 'S002' , 'TNGO', '10-FEB-2020', 1137.60);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00101' , 'S003' , 'CASH', '10-FEB-2020', 316.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00102' , 'S003' , 'VSCC', '11-FEB-2020', 488.72);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00103' , 'S003' , 'TNGO', '11-FEB-2020', 308.88);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00104' , 'S004' , 'MSCC', '11-FEB-2020', 316.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00105' , 'S004' , 'VSCC', '12-FEB-2020', 324.72);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00106' , 'S004' , 'CASH', '12-FEB-2020', 308.88);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00107' , 'S005' , 'GBAB', '12-FEB-2020', 312.84);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00108' , 'S005' , 'TNGO', '13-FEB-2020', 324.72);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00109' , 'S005' , 'AECC', '13-FEB-2020', 324.72);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00110' , 'S006' , 'MSCC', '13-FEB-2020', 312.84);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00111' , 'S006' , 'CASH', '14-FEB-2020', 324.72);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00112' , 'S006' , 'CASH', '14-FEB-2020', 308.88);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00113' , 'S006' , 'CASH', '14-FEB-2020', 380.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00114' , 'S001' , 'TNGO', '15-FEB-2020', 486.81);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00115' , 'S001' , 'TNGO', '15-FEB-2020', 451.82);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00116' , 'S001' , 'TNGO', '15-FEB-2020', 397.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00117' , 'S002' , 'CASH', '16-FEB-2020', 423.12);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00118' , 'S002' , 'MSCC', '16-FEB-2020', 422.01);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00119' , 'S002' , 'AECC', '16-FEB-2020', 402.48);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00120' , 'S003' , 'MSCC', '17-FEB-2020', 378.84);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00121' , 'S003' , 'AECC', '17-FEB-2020', 700.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00122' , 'S003' , 'CHEQ', '17-FEB-2020', 390.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00123' , 'S004' , 'CHEQ', '18-FEB-2020', 376.04);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00124' , 'S004' , 'CASH', '18-FEB-2020', 390.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00125' , 'S004' , 'MSCC', '18-FEB-2020', 410.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00126' , 'S005' , 'GBAB', '19-FEB-2020', 390.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00127' , 'S005' , 'TNGO', '19-FEB-2020', 400.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00128' , 'S005' , 'VSCC', '19-FEB-2020', 410.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00129' , 'S005' , 'CASH', '20-FEB-2020', 434.60);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00130' , 'S006' , 'TNGO', '20-FEB-2020', 546.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00131' , 'S006' , 'TNGO', '20-FEB-2020', 400.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00132' , 'S006' , 'MSCC', '21-FEB-2020', 410.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00133' , 'S006' , 'MSCC', '21-FEB-2020', 434.60);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00134' , 'S003' , 'CASH', '21-FEB-2020', 415.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00135' , 'S003' , 'CASH', '22-FEB-2020', 410.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00136' , 'S003' , 'CHEQ', '22-FEB-2020', 487.50);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00137' , 'S003' , 'CHEQ', '22-FEB-2020', 545.10);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00138' , 'S001' , 'MSCC', '23-FEB-2020', 572.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00139' , 'S001' , 'DBCD', '23-FEB-2020', 565.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00140' , 'S001' , 'DBCD', '23-FEB-2020', 565.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00141' , 'S001' , 'DBCD', '24-FEB-2020', 545.10);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00142' , 'S002' , 'TNGO', '24-FEB-2020', 552.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00143' , 'S002' , 'CASH', '24-FEB-2020', 592.00);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00144' , 'S002' , 'AECC', '25-FEB-2020', 782.10);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00145' , 'S002' , 'MSCC', '25-FEB-2020', 598.60);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00146' , 'S003' , 'TNGO', '25-FEB-2020', 538.20);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00147' , 'S003' , 'DBCD', '26-FEB-2020', 545.10);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00148' , 'S003' , 'GBAB', '26-FEB-2020', 598.60);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00149' , 'S006' , 'GBAB', '27-FEB-2020', 1403.04);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00150' , 'S006' , 'ONBK', '27-FEB-2020', 1456.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00151' , 'S006' , 'ONBK', '28-FEB-2020', 1456.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00152' , 'S006' , 'VSCC', '28-FEB-2020', 1385.28);
